가게이름,카테고리,전체평점,평점건수,리뷰수,영업상태,영업시간,주소,지번,,연락처,홈페이지,리뷰작성자,작성자리뷰작성수,작성자평균평점,팔로워,리뷰평점,리뷰작성일,리뷰내용,리뷰이미지,
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
소금은미원",1,5,0,5,2025.05.31.,여기 젊은 사장님이 BBQ 새로 인수하신지 얼마 안 되셨다네요! 저번에 갔을때 잠깐 얘기 나눠보니 오픈한지 얼마 안되셨다고 콜라 서비스도 주시더라구요! 맛도 좋고 친절하셔서 종종 갈 것 같네요:) ,,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
Askar Ernist",1,1,0,1,2024.06.19.,"
I would like to mention that there seems to be discrimination between Koreans and international customers. For example, the portions for foreigners are smaller... 더보기",,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
??",70,4.4,1,1,2023.09.17.,전엔 안 그랬던 것 같은데 가게 다 중국인으로 바뀐건지 뭔지.. 홀에서 먹었을 때랑 직원 달라졌는데 그때는 진짜 양도 많고 맛있었는데 포장하러 가니까 양 진짜 적고 튀김 옷 색도 거무튀튀...  ,,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
유기농그대로",9,4.6,0,1,2023.06.30.,요기요에서 시켰는데 더블치즈볼 배달이 누락돼서 연락 드렸습니다. 근데 다섯번을 전화해도 안받으시네요. 장사를 하기 싫으신가봅니다. 여기에 리뷰라도 남겨서 가시거나 주문하시려는분 참고하시길 바래요~ ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8858a2fa02fd5a4ed8aad450aab589348a026d32%3Foriginal,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
맛있는거만먹고파",3,2,1,1,2023.05.30.,자메이카 반마리 포장주문 시켰는데 1500원 더 받아먹는 비양심적인 곳 ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4210616b6bbb1c42aac588e757d78a1637a74a0a%3Foriginal,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
올래",16,2.9,0,1,2023.05.09.,맛없고 기름 안바꾸시는듯 조금 이상함 냄새나요 ,,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
김옥희",7,2.6,0,4,2023.03.16.,,,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
이승호",3,3.7,0,5,2022.02.12.,1점 리뷰보고 억울할사장님을 위해 로그인까지 해서 리뷰남김.. 굉장히 친절하고 기프티콘같은거 사용해도 아주 잘해주심. 물론 존맛 ,,https://place.map.kakao.com/670927858#review
BBQ치킨 인하대후문점,치킨,2.1,"10
개",,영업 전,영업 전16:00 오픈월(11/3)16:00 ~ 01:20화(11/4)16:00 ~ 01:20수(11/5)16:00 ~ 01:20목(11/6)16:00 ~ 01:20금(11/7)16:00 ~ 01:20토(11/8)16:00 ~ 01:20일(11/9)16:00 ~ 01:20요기요 제공수정제안,인천 미추홀구 경인남길30번길 42 지하1층 (우)22207,용현동 191-5,,322138878,"https://www.bbq.co.kr/
수정제안","
가성비대학생",98,3.6,4,1,2021.08.15.,순살 개 퍽퍽하고 맛대갈없어욤. ,,https://place.map.kakao.com/670927858#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
ㅇㅇ",139,3.9,9,1,2024.11.04.,외국인분들이 하시는 것 같던데 불친절하고 서비스가 뭔가 기분 나빠요 ,,https://place.map.kakao.com/1840700459#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
닥터장",292,2.5,26,4,2024.06.06.,로제찜닭 묵은지찜닭 선호함 ,,https://place.map.kakao.com/1840700459#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
신나래",392,4.8,20,5,2024.02.13.,양이 푸짐하고 변함없이 맛있어요!!!!! ,,https://place.map.kakao.com/1840700459#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
mm",10,2.6,0,1,2023.12.03.,,,https://place.map.kakao.com/1840700459#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
전국일주맛집투어라이더",371,4.6,71,5,2023.08.21.,맛있었어요 ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff169f590de093b598d92b949d1e1a0cfcf39beb39c01715ef21c59402b87c2bf,https://place.map.kakao.com/1840700459#review
두찜 인천인하대점,닭요리,3,"6
개",,영업 전,영업 전11:00 오픈월(11/3)11:00 ~ 23:00화(11/4)11:00 ~ 23:00수(11/5)11:00 ~ 23:00목(11/6)11:00 ~ 23:00금(11/7)11:00 ~ 23:00토(11/8)11:00 ~ 23:00일(11/9)11:00 ~ 23:00수정제안,인천 미추홀구 인하로 인하대점67번길 6-11 지하1층 (우)22207,용현동 193-3,,328761933,https://twozzim.com/펼치기https://blog.naver.com/twozzim3/수정제안,"
gastronomie",98,3.8,10,2,2023.05.28.,"지점마다 맛 차이 있는 건 어쩔 수 없지만…
먹어본 지점 중 제일 별로였어요. ㅎㅎ 
소스에 어떤 파우더를 사용한건지 확실하지는 않지만 텁텁한 맛이 많이 났어요... 더보기",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F97cbd8f0bb0b0d7a96f7fe52c0c990bef394c1c9%3Foriginal,https://place.map.kakao.com/1840700459#review
타슈켄트,간식,5,"3
개","21
개",,"영업정보
매일 환영합니다
수정제안",인천 미추홀구 인하로 인하대점47번길 71 1층 (우)22207,용현동 169-12,,1037109222,"웹사이트를 알려주세요
수정제안","
Nuriddinshoh",11,3.2,0,5,2025.08.06.,Good  ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fea539af2f8ff49e2de3de006756622d945bbf637%3Foriginal,https://place.map.kakao.com/1097467567#review
타슈켄트,간식,5,"3
개","21
개",,"영업정보
매일 환영합니다
수정제안",인천 미추홀구 인하로 인하대점47번길 71 1층 (우)22207,용현동 169-12,,1037109222,"웹사이트를 알려주세요
수정제안","
BlueHat",110,4.8,6,5,2025.02.02.,,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1fed25e039b0f0f2491d50afdf11b33ea8d82854%3Foriginal,https://place.map.kakao.com/1097467567#review
타슈켄트,간식,5,"3
개","21
개",,"영업정보
매일 환영합니다
수정제안",인천 미추홀구 인하로 인하대점47번길 71 1층 (우)22207,용현동 169-12,,1037109222,"웹사이트를 알려주세요
수정제안","
Sadriddin",2,5,0,5,2024.06.18.,,,https://place.map.kakao.com/1097467567#review
이대조감자탕 주안점,감자탕,2.5,"2
개",,영업 전,영업 전10:00 오픈월(11/3)10:00 ~ 22:00화(11/4)10:00 ~ 22:00수(11/5)10:00 ~ 22:00목(11/6)10:00 ~ 22:00금(11/7)10:00 ~ 22:00토(11/8)10:00 ~ 22:00일(11/9)10:00 ~ 22:00수정제안,인천 미추홀구 인주대로 259 (우)22157,주안동 676-23,,328739248,"웹사이트를 알려주세요
수정제안","
비비비",37,4.6,2,4,2024.03.19.,"매장 넓음
감자탕 해장국 말고도 다른 메뉴와 정식류도 있음

인하대... 더보기",,https://place.map.kakao.com/190920835#review
이대조감자탕 주안점,감자탕,2.5,"2
개",,영업 전,영업 전10:00 오픈월(11/3)10:00 ~ 22:00화(11/4)10:00 ~ 22:00수(11/5)10:00 ~ 22:00목(11/6)10:00 ~ 22:00금(11/7)10:00 ~ 22:00토(11/8)10:00 ~ 22:00일(11/9)10:00 ~ 22:00수정제안,인천 미추홀구 인주대로 259 (우)22157,주안동 676-23,,328739248,"웹사이트를 알려주세요
수정제안","
.",4,2,0,1,2018.05.15.,"별 1도 아까움!! 완전 최악중에 최악!! 지나가던 그지새끼도 
저 음식들은 안먹을것 같음.
묵은지닭도리탕 시켰는데 그냥 한마디로 김치찌개임.... 더보기",,https://place.map.kakao.com/190920835#review
도시톡,술집,5,"1
개",,영업 전,영업 전19:00 오픈월(11/3)19:00 ~ 03:00화(11/4)19:00 ~ 03:00수(11/5)19:00 ~ 03:00목(11/6)19:00 ~ 03:00금(11/7)19:00 ~ 03:00토(11/8)19:00 ~ 03:00일(11/9)19:00 ~ 03:00수정제안,인천 미추홀구 인하로 인하대점77번길 18 (우)22207,용현동 182-2,,,"웹사이트를 알려주세요
수정제안","
??",3,3.7,0,5,2025.01.27.,사장님 친절하시고 좋아용 ,,https://place.map.kakao.com/280745141#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
라코칩",4,2,0,1,2024.09.26.,"?신메뉴 바지락순두부는 먹지마세요->해수를 먹는 맛 
?바지락이랑 순두부 없어서 못먹는데 심하게 비리다니까 비리면 이걸 먹으면 안된다는 어이없는 답변+맛을 보려고 하지도 않는 태도에 놀랐음 ",,https://place.map.kakao.com/1618097660#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
동그랑땡",95,3.3,1,4,2023.03.09.,항상 사람 많지만 맛있고 친절함 ,,https://place.map.kakao.com/1618097660#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
윤관",3,5,0,5,2022.08.28.,시끄러운데 맛은 있음 치즈라볶이 맛있어요 ,,https://place.map.kakao.com/1618097660#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
3점평범4점맛있5점최고",518,3.8,199,3,2022.02.24.,인후 인기 제일 많은 술집 ,https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7598eadc7cd657c7bf5d4f6a4b8f09a2643f5ef7%3Foriginal,https://place.map.kakao.com/1618097660#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
내 리뷰보면 실패안함",188,3.7,27,4,2021.12.23.,"솔직히 간맥할때 할맥만한곳없지ㅋㅋ
돈까스 + 짜파구리 조합 개꿀 ",,https://place.map.kakao.com/1618097660#review
역전할머니맥주 인천인하대점,"호프,요리주점",3.2,"6
개",,,,인천 미추홀구 인하로 인하대점67번길 24-30 (우)22207,용현동 194-29,,328620133,"http://yukjunfnc.kr/
수정제안","
버터우유",63,2.7,1,2,2021.07.08.,"안주류 맛있음.
시끄러움. ",,https://place.map.kakao.com/1618097660#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
뇸",1,1,0,1,2025.09.02.,"배달은 절대 하지마시길요;;; 두번이나 추가 한 음식은 매우 조금 오거나 아예 누락시킴여,, 여기 별점 왜 높은지 모르겠음;;  ",,https://place.map.kakao.com/906426047#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
uni",47,4.3,3,5,2025.03.28.,대학가 근처라서 그런가 다른 지점보다 양 많아요 맛은 물론 있음! 꿔바로우 꼭 시키삼 ,,https://place.map.kakao.com/906426047#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
one",1,5,0,5,2024.08.15.,"지금까지 먹어봤던 마라탕중 ??
가성비, 맛 짱짱짱!!! 배달 시켜두 이맛인데..
매장 직접 가서 먹음 정말 완전 존맛탱... 더보기",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbb3d316f2071807b9031f0ff8159986c6894d201%3Foriginal,https://place.map.kakao.com/906426047#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
ㅇㅅㅇ",116,3.3,4,3,2023.09.05.,"맛이 좀 변한느낌,. 국물 맛이 연해졌어요 
딴데가야징.. ",,https://place.map.kakao.com/906426047#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
ㅎㅍ",12,4.4,1,5,2023.03.04.,"모르면 외우는게 좋다… 마라샹궈는 인후 춘리…
서울 맛집도 다 가보고 부평도 가보고.. 10곳 넘게 도전했는데 전 아직까지 여기가 베스트.. ",https://img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F13a8aad16b300bd5812b58c8e894c0bc59de6360%3Foriginal,https://place.map.kakao.com/906426047#review
춘리마라탕,중국요리,4,"6
개",,영업 중,영업 중22:30 까지월(11/3)10:00 ~ 22:3022:00 라스트오더화(11/4)10:00 ~ 22:3022:00 라스트오더수(11/5)10:00 ~ 22:3022:00 라스트오더목(11/6)10:00 ~ 22:3022:00 라스트오더금(11/7)10:00 ~ 22:3022:00 라스트오더토(11/8)10:00 ~ 22:3022:00 라스트오더일(11/9)10:00 ~ 22:3022:00 라스트오더수정제안,인천 미추홀구 인하로 인하대점77번길 33 1층 (우)22207,용현동 195-17,,322119996,"https://chunlimalatang.com/
수정제안","
cong",25,5,2,5,2021.09.07.,"마라탕2단계, 꿔바로우.

맛있다. 둘다 맛있다.
다음엔 ... 더보기",,https://place.map.kakao.com/906426047#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
lsadia",19,3,0,3,2025.07.17.,맛있어서 자주 가긴 하는데… 접객면에서 예민하다는 느낌이 많이 들어요. 조금 더 친절했으면 합니다. 아무리 맛있어도 접객할 때 날카로운게 느껴지면 다시 가는걸 고민하게 되네요. ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
さようなら",70,4.8,3,5,2025.06.07.,,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
진짜임",20,3.4,1,4,2024.09.01.,맛있다 ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
닥터장",292,2.5,26,4,2024.06.06.,후문 고깃집 중에서는 탑3 ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
????????????",42,5,1,5,2023.05.07.,"맛집! 30년 전통 양념! 단체 하려면 예약필수.

늦게오면 웨이팅 있음 ",,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
외식손선생",6,5,0,5,2022.11.10.,양념갈비 원 탑 ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
남쓰",16,4.1,0,5,2022.01.24.,인하대 물가치고는 가격이있지만 맛은 진짜 맛있었어요....!! (생갈비만 먹어봄) ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
호기심고양이",24,4.4,0,5,2021.07.31.,항상 맛있게 먹고 있습니다. 돼지 생갈비가 정말 맛있는데 파는 곳이 드물거든요... 가격도 맛도 반찬도 식사도 전부 맛있습니다! ,,https://place.map.kakao.com/1850319363#review
신흥갈비,갈비,4.5,"11
개","21
개",영업 전,영업 전17:00 오픈월(11/3)17:00 ~ 22:00화(11/4)17:00 ~ 22:00수(11/5)17:00 ~ 22:00목(11/6)17:00 ~ 22:00금(11/7)17:00 ~ 22:00토(11/8)17:00 ~ 22:00일(11/9)17:00 ~ 22:00수정제안,인천 미추홀구 경인남길30번길 61-5 1층 (우)22207,용현동 182-9,,322359002,"웹사이트를 알려주세요
수정제안","
ㅋㅎㅎ",381,4.3,24,4,2020.04.01.,예전엔 감동적이었는데 점점 육즙이 덜 하고 고기질이 평범해진 느낌 ,,https://place.map.kakao.com/1850319363#review
