가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,X3_Sentiment,X1_Organic_Count,X2_Ad_Count,X1_Organic_Ratio,X2_Ad_Ratio,X1_Organic_Flag,X2_Ad_Flag,X4_Specificity,X5_rating_mean,X6_review_num,X7_content_sim,X8_Is_Viral,label,is_StrongLabeled,validated_label,ad_prob,ad_pred,text_len
고양이눈,일식,4.4,12,19,^♡^,2025-09-12,2,5.0,5,맛있어요.친절하시고 카래양도 많... 더보기,0.510855377,1,0,0.25,0.0,1,0,24,5.0,2,0.0,1,-1,False,1,0.109087626,1,24
닭살부부,치킨,4.9,42,80,마타누이,2025-09-18,63,4.6,5,인하대 후문 거리에서 괜히 고기 맛집으로 유명한 게 아니구나 싶은 곳입니다. 목살 고기도 맛있고 가격도 착해서 자주 방문하지 않을 이유가 없는 맛집입니다. ,0.624862671,0,0,0.0,0.0,0,0,87,4.6,63,0.061616249,0,-1,False,0,0.10773867,1,87
스톡홀름 샐러드,샐러드,5.0,9,24,진짜 맘에 드는 곳만 리뷰쓰는 사람,2023-06-23,7,5.0,5,혼밥하기도 좋고 양도 내가 원하는 만큼 덜어먹을 수 있어서 너무 좋아요! 무엇보다도 직원분들이 항상 친절하시고 메뉴들이 다 맛있어요 ㅜㅜ메뉴를 인스타로 확인하고 갈 ... 더보기,0.505131543,3,1,0.125,0.041666667,1,1,99,5.0,7,0.045454545,0,-1,False,0,0.123222376,1,99
금산양꼬치 본점,양꼬치,3.4,38,52,퉁그리,2024-10-04,391,3.9,4,양고기 맛있고 콩나물무침?도 맛있고 탕수육도 맛남 ,0.505207658,1,0,0.166666667,0.0,1,0,28,3.9,391,0.019778673,0,-1,False,0,0.068077138,0,28
레오펍 인하대점,피자,4.8,25,0,3점평범4점맛있5점최고,2022-02-24,518,3.8,4,맛있고 커요감자튀김 최고인후에서 ... 더보기,0.52450043,0,0,0.0,0.0,0,0,25,3.8,518,0.017634989,0,-1,False,0,0.068243976,0,25
꽃피는 꽃삼겹,삼겹살,4.5,19,12,3점평범4점맛있5점최고,2022-02-24,518,3.8,4,인후에서 좋아하는 삼겹살집두툼하고 살짝 양념 가미된 삼겹살 ,0.699501872,1,0,0.142857143,0.0,1,0,33,3.8,518,0.017634989,0,-1,False,0,0.068701199,0,33
숭의갈비,갈비,5.0,2,0,삑뚜싸따나,2022-11-13,40,3.5,5,이곳은 주인 부부께서 직접 밑반찬도 다 만들고반찬류도 엄청나게 많고정갈하고 위생도 깔끔한 맛집인데퀄리티에 비해... 더보기,0.679614663,1,0,0.071428571,0.0,1,0,68,3.5,40,0.020665593,0,-1,False,0,0.068746928,0,68
운반미,베트남음식,4.9,10,0,gogogo,2025-05-06,84,4.3,5,고기를 좋아해서 오리지널 반미는 기대 안 했는데 진짜 맛있었어요!!! 매운맛으로 사길 잘 한 것 같아요~ 반미 맛있는 곳 찾기 힘든데 반미 맛집 발견해서 너무 좋네요! ,0.507780313,0,1,0.0,0.04,0,1,94,4.3,84,0.0,0,-1,False,0,0.072393658,0,94
썬더치킨 인하대점,치킨,3.9,17,11,잇힝,2024-02-15,23,2.4,3,3~5천원더주고 체인점꺼 드세요돈아까워서 억지로 먹었네요 ,0.44955799,0,0,0.0,0.0,0,0,32,2.4,23,0.006666667,0,0,False,0,0.069410838,0,32
촌닭 인하대점,닭요리,3.9,17,20,mok,2021-12-05,32,4.7,5,"맛있고 가성비 좋아요. 닭죽, 공기밥, 식혜, 삶은계란 계속 먹을 수 있음. ",0.504739046,0,0,0.0,0.0,0,0,43,4.7,32,0.005994006,0,-1,False,0,0.07392114,0,43
